,Strike,Expiry,Type,Last_y,Bid_y,Ask_y,Vol_y,Underlying_Price_y,TtM_y,Implied_vol_bis,BS_Price,Avr_Price
2003,249.0,2019-03-29,put,0.8,0.8,0.81,130.0,273.8,0.1232876712328767,0.20818557040184732,0.7972284612531979,0.805
2004,249.0,2019-04-18,call,23.28,26.19,26.44,1.0,273.8,0.1780821917808219,0.18030123120740055,26.756362729920568,26.315
2005,249.0,2019-04-18,put,1.4,1.36,1.38,120.0,273.8,0.1780821917808219,0.2028591877445578,1.3593921918582303,1.37
2006,249.5,2019-02-15,call,20.75,24.31,24.56,4.0,273.8,0.00821917808219178,0.560237726265788,24.523163130343335,24.435
2007,249.5,2019-02-15,put,0.02,0.01,0.02,20.0,273.8,0.00821917808219178,0.3238821035480499,0.001577090055876501,0.015
2008,249.5,2019-02-22,call,13.3,24.4,24.63,270.0,273.8,0.0273972602739726,0.3306696323800087,24.719112054983412,24.515
2009,249.5,2019-02-22,put,0.12,0.05,0.06,3.0,273.8,0.0273972602739726,0.24410318862557412,0.0368207569737522,0.055
2010,250.0,2019-02-13,call,19.05,23.81,24.03,27.0,273.8,0.0027397260273972603,0.7200154373311998,23.842094257599967,23.92
2011,250.0,2019-02-19,call,17.52,23.87,24.1,1.0,273.8,0.019178082191780823,0.39364912138104446,24.19099974906851,23.985
2012,250.0,2019-02-19,put,0.03,0.02,0.03,6.0,273.8,0.019178082191780823,0.24941788878917695,0.011409030916032847,0.025
2013,250.0,2019-02-20,call,22.56,23.88,24.13,1.0,273.8,0.021917808219178082,0.34838154450476166,24.137311651660184,24.005
2014,250.0,2019-02-20,put,0.08,0.03,0.04,10.0,273.8,0.021917808219178082,0.24653064392089846,0.018778788620976927,0.035
2015,250.0,2019-02-22,call,18.75,23.92,24.19,6.0,273.8,0.0273972602739726,0.3331371419394016,24.254049309506996,24.055
2016,250.0,2019-02-22,put,0.06,0.05,0.07,200.0,273.8,0.0273972602739726,0.2424309231007099,0.04042711913573216,0.060000000000000005
2017,250.0,2019-02-25,call,21.35,23.98,24.23,2.0,273.8,0.03561643835616438,0.29720429475069043,24.32614004377635,24.105
2018,250.0,2019-02-25,put,0.08,0.08,0.08,1.0,273.8,0.03561643835616438,0.22355702008605,0.05776314348815248,0.08
2019,250.0,2019-02-27,call,23.35,24.07,24.28,5.0,273.8,0.0410958904109589,0.28772311666011813,24.42140746678251,24.175
2020,250.0,2019-02-27,put,0.12,0.11,0.12,575.0,273.8,0.0410958904109589,0.2225030922627449,0.09039909956874848,0.11499999999999999
2021,250.0,2019-03-01,call,22.84,24.23,24.48,4.0,273.8,0.04657534246575343,0.28867127619236704,24.581415586257663,24.355
2022,250.0,2019-03-01,put,0.17,0.17,0.18,154.0,273.8,0.04657534246575343,0.22380610754072663,0.1374625554764748,0.175
2023,250.0,2019-03-04,call,23.85,24.2,24.47,4.0,273.8,0.0547945205479452,0.24877994118750094,24.49576992575993,24.335
2024,250.0,2019-03-04,put,0.3,0.19,0.2,21.0,273.8,0.0547945205479452,0.21327746872156855,0.1650136126225039,0.195
2025,250.0,2019-03-06,call,21.66,24.28,24.54,4.0,273.8,0.06027397260273973,0.20879869270443918,24.35159916102839,24.41
2026,250.0,2019-03-06,put,0.25,0.24,0.25,25.0,273.8,0.06027397260273973,0.21395672228306534,0.21728882093292157,0.245
